[SetTextColor(Green);],,[SetTextColor(Green);]
"#""February 23, 9:34 AM""",,"#""23 กุมภาพันธ์ 9:34 น."""
[NewLine();],,[NewLine();]
"#""District Court""",,"#""ศาลแขวง"""
[NewLine();],,[NewLine();]
"#""Defendant Lobby No. 2""",,"#""ห้องพักจำเลยหมายเลข 2"""
[ReadKey();],,[ReadKey();]
[SetTextColor(White);],,[SetTextColor(White);]
,,
[Lana],,[Lana]
"#""How did the investigation""",,"#""เมื่อวานการสืบสวนเป็นยังไงบ้างล่ะ"""
[NewLine();],,[NewLine();]
"#""go yesterday, Mr. Wright?""",,"#""คุณ<ไรท์>?"""
[Op_2D();],,[Op_2D();]
,,
[Phoenix Wright],,[Phoenix Wright]
"#""Frankly, there are still a lot""",,"#""แปลกมาก มันยังมีหลายอย่าง"""
[NewLine();],,[NewLine();]
"#""of...""",,"#""ที่ยัง..."""
[Wait(20);],,[Wait(20);]
"#"" gray areas.""",,"#"" ซับซ้อนอยู่"""
[Op_2D();],,[Op_2D();]
,,
[Ema],,[Ema]
"#""Or rather, the whole thing is""",,"#""หรือบางที มันก็ซับซ้อน"""
[NewLine();],,[NewLine();]
"#""one big gray area...""",,"#""ไปหมดทุกอย่าง..."""
[Op_2D();],,[Op_2D();]
,,
[Lana],,[Lana]
"#""Don't worry about me,""",,"#""ไม่ต้องห่วงฉัน"""
[NewLine();],,[NewLine();]
"#""no matter what the outcome.""",,"#""ไม่ว่าจะเกิดอะไรขึ้น"""
[ReadKey();],,[ReadKey();]
"#""I'm ready to accept my fate.""",,"#""ฉันก็น้อมรับชะตากรรมไว้แล้ว"""
[Op_2D();],,[Op_2D();]
,,
[Ema],,[Ema]
"#""I believe in you, sis.""",,"#""หนูเชื่อใจพี่นะ"""
[Op_2D();],,[Op_2D();]
,,
[Lana],,[Lana]
"#""Mr. Wright, let me offer you""",,"#""ขอแนะนำอะไรอย่างนึงนะ"""
[NewLine();],,[NewLine();]
"#""a word of advice.""",,"#""คุณ<ไรท์>"""
[Op_2D();],,[Op_2D();]
,,
[Phoenix Wright],,[Phoenix Wright]
"#""Yes?""",,"#""ครับ?"""
[ReadKey();],,[ReadKey();]
,,
[Lana],,[Lana]
"#""A defense attorney should""",,"#""ทนายฝ่ายจำเลยน่ะ"""
[NewLine();],,[NewLine();]
"#""never ""believe"" their client.""",,"#""ไม่ควรจะ ""เชื่อ"" ลูกความของตัวเอง"""
[Op_2D();],,[Op_2D();]
,,
[Ema],,[Ema]
"#""...!""",,"#""...!"""
[Op_2D();],,[Op_2D();]
,,
[Lana],,[Lana]
"#""The defendant is called to""",,"#""จำเลยน่ะถูกนำมาพิจารณาคดี"""
[NewLine();],,[NewLine();]
"#""trial because they are""",,"#""ก็เพราะว่าพวกเขา"""
[NewLine();],,[NewLine();]
"#""suspected of wrongdoing!""",,"#""ถูกสงสัยว่าทำความผิด!"""
[ReadKey();],,[ReadKey();]
"#""Never forget that.""",,"#""อย่าลืมซะล่ะ"""
[Op_2D();],,[Op_2D();]
,,
[Phoenix Wright],,[Phoenix Wright]
"#""Ms. Skye, you...""",,"#""คุณ<สกาย>..."""
[Op_2D();],,[Op_2D();]
"#""You remind me a lot of Mia.""",,"#""คุณทำให้ผมนึกถึง<มีอา>เลย"""
[Op_2D();],,[Op_2D();]
"#""But there is one decisive""",,"#""แต่ระหว่างคุณกับเธอ"""
[NewLine();],,[NewLine();]
"#""difference between you""",,"#""มันมีความต่างที่"""
[NewLine();],,[NewLine();]
"#""and her.""",,"#""ชัดเจนมากๆ อยู่จุดนึง"""
[ReadKey();],,[ReadKey();]
,,
[Lana],,[Lana]
"#""And that is?""",,"#""และมันคือ?"""
[ReadKey();],,[ReadKey();]
,,
[Phoenix Wright],,[Phoenix Wright]
"#""You're not a defense attorney.""",,"#""คุณไม่ใช่ทนายฝ่ายจำเลย"""
[ReadKey();],,[ReadKey();]
,,
[Lana],,[Lana]
"#""...""",,"#""..."""
[Wait(40);],,[Wait(40);]
[NewLine();],,[NewLine();]
"#""I believe it's almost time""",,"#""ฉันว่ามันคงถึงเวลา"""
[NewLine();],,[NewLine();]
"#""for the trial.""",,"#""เข้าศาลแล้ว"""
[ReadKey();],,[ReadKey();]
"#""Good luck, Mr. Wright.""",,"#""โชคดีล่ะ คุณ<ไรท์>"""
[Op_2D();],,[Op_2D();]
,,
[Phoenix Wright],,[Phoenix Wright]
[SetTextColor(Blue);],,[SetTextColor(Blue);]
"#""(My first trial without""",,"#""(คดีแรกของฉัน"""
[NewLine();],,[NewLine();]
"#""a Fey helping me...)""",,"#""ที่ไม่มีตระกูล<เฟย์>คอยช่วย...)"""
[ReadKey();],,[ReadKey();]
"#""(No one's going to bail""",,"#""(ไม่มีใครจะช่วยฉันได้"""
[NewLine();],,[NewLine();]
"#""me out this time...)""",,"#""อีกแล้วครั้งนี้...)"""
[ReadKey();],,[ReadKey();]
"#""(I'll be alone in there...)""",,"#""(จะมีเพียงแค่ฉันคนเดียวข้างใน...)"""
[Wait(20);],,[Wait(20);]
[ReadKey();],,[ReadKey();]
"#""(So I have to discover the""",,"#""(ดังนั้นแล้ว ฉันจะต้องค้นหา"""
[SetTextColor(Blue);],,[SetTextColor(Blue);]
[NewLine();],,[NewLine();]
[SetTextColor(Red);],,[SetTextColor(Red);]
"#""truth""",,"#""ความจริง"""
[SetTextColor(Blue);],,[SetTextColor(Blue);]
"#"" all by myself!)""",,"#""ทั้งหมดนี้ด้วยตัวเอง!)"""
[SetTextColor(White);],,[SetTextColor(White);]
[Op_2D();],,[Op_2D();]
,,
[Ema],,[Ema]
"#""Let's do it, Mr. Wright!""",,"#""ลุยกันเลย คุณ<ไรท์>!"""
[NewLine();],,[NewLine();]
"#""I'll be with you the whole""",,"#""หนูจะคอยเชียร์คุณอยู่"""
[NewLine();],,[NewLine();]
"#""way!""",,"#""ตลอดทาง!"""
[Op_2D();],,[Op_2D();]
,,
[Clear Speaker],,[Clear Speaker]
[SetTextColor(Green);],,[SetTextColor(Green);]
"#""February 23, 10:00 AM""",,"#""23 กุมภาพันธ์ 10:00 น."""
[NewLine();],,[NewLine();]
"#""District Court""",,"#""ศาลแขวง"""
[NewLine();],,[NewLine();]
"#""Courtroom No. 9""",,"#""ห้องพิจารณาคดีหมายเลข 9"""
[ReadKey();],,[ReadKey();]
[SetTextColor(White);],,[SetTextColor(White);]
,,
[Judge],,[Judge]
"#""Court is now in session for""",,"#""ศาลจะเข้าสู่การพิจารณาคดี"""
[NewLine();],,[NewLine();]
"#""the trial of Ms. Lana Skye.""",,"#""ของคุณ<ลาน่า สกาย>"""
[ReadKey();],,[ReadKey();]
,,
[Phoenix Wright],,[Phoenix Wright]
"#""The defense is ready,""",,"#""ฝ่ายจำเลยพร้อมแล้วครับ"""
[NewLine();],,[NewLine();]
"#""Your Honor.""",,"#""ท่านผู้พิพากษา"""
[Op_2D();],,[Op_2D();]
,,
[Miles Edgeworth],,[Miles Edgeworth]
"#""The prosecution has been""",,"#""ฝ่ายโจทก์เองก็พร้อมมาสักพักแล้วครับ"""
[NewLine();],,[NewLine();]
"#""ready for a while, Your Honor.""",,"#""ท่านผู้พิพากษา"""
[ReadKey();],,[ReadKey();]
,,
[Phoenix Wright],,[Phoenix Wright]
[SetTextColor(Blue);],,[SetTextColor(Blue);]
"#""(Edgeworth...)""",,"#""(<เอ็จเวิร์ธ>...)"""
[ReadKey();],,[ReadKey();]
"#""(It's been two months, but I""",,"#""(ผ่านมาตั้งสองเดือนแล้ว"""
[NewLine();],,[NewLine();]
"#""haven't been in a courtroom""",,"#""แต่ฉันก็ไม่ได้ขึ้นศาลเลย"""
[Wait(20);],,[Wait(20);]
[NewLine();],,[NewLine();]
"#""since his trial...)""",,"#""ตั้งแต่คดีของเขา...)"""
[SetTextColor(White);],,[SetTextColor(White);]
[ReadKey();],,[ReadKey();]
,,
[Miles Edgeworth],,[Miles Edgeworth]
"#""I hope that personal feelings""",,"#""ผมหวังว่าความรู้สึกส่วนตัว"""
[NewLine();],,[NewLine();]
"#""will not be a part of the""",,"#""จะไม่มาพัวพันกับ"""
[NewLine();],,[NewLine();]
"#""proceedings today, Mr. Wright.""",,"#""คดีวันนี้นะ คุณ<ไรท์>"""
[Op_2D();],,[Op_2D();]
,,
[Phoenix Wright],,[Phoenix Wright]
"#""...!""",,"#""...!"""
[ReadKey();],,[ReadKey();]
,,
[Miles Edgeworth],,[Miles Edgeworth]
"#""I will choose the path I think""",,"#""ผมจะเลือกทางที่ผมคิด"""
[NewLine();],,[NewLine();]
"#""is right, regardless of what""",,"#""ว่ามันถูก ไม่ว่าคนรอบๆ ตัวผม"""
[NewLine();],,[NewLine();]
"#""those around me might say.""",,"#""จะคิดหรือพูดยังไง"""
[ReadKey();],,[ReadKey();]
"#""The judgment to be made here""",,"#""การตัดสินมันขึ้นอยู่กับพวกเรา"""
[NewLine();],,[NewLine();]
"#""is in our hands, not those""",,"#""ไม่ใช่ด้วยน้ำมือ"""
[NewLine();],,[NewLine();]
"#""of anyone else.""",,"#""ของใครทั้งนั้น"""
[Op_2D();],,[Op_2D();]
,,
[Judge],,[Judge]
"#""Very well, Mr. Edgeworth, your""",,"#""ถ้าอย่างนั้น คุณ<เอ็จเวิร์ธ>"""
[NewLine();],,[NewLine();]
"#""opening statement please.""",,"#""แถลงเปิดคดีด้วยครับ"""
[ReadKey();],,[ReadKey();]
,,
[Miles Edgeworth],,[Miles Edgeworth]
"#""Chief Prosecutor Lana Skye""",,"#""อัยการสูงสุด<ลาน่า สกาย>"""
[NewLine();],,[NewLine();]
"#""has committed an unpardonable""",,"#""ได้ก่อคดีที่มิอาจให้อภัยได้"""
[NewLine();],,[NewLine();]
"#""crime.""",,"#"""""
[ReadKey();],,[ReadKey();]
"#""Not only this, but she was""",,"#""นอกจากนั้น เธอยังก่อคดีอย่างอุกอาจ"""
[NewLine();],,[NewLine();]
"#""rash enough to commit it in""",,"#""ที่ได้มาลงมือในลานจอดรถ"""
[NewLine();],,[NewLine();]
"#""the Prosecutor's Office lot!""",,"#""ของสำนักงานอัยการเอง!"""
[ReadKey();],,[ReadKey();]
,,
[Ema],,[Ema]
"#""Wow... """,,"#""โหว... """
[Wait(20);],,[Wait(20);]
